Date;CHANGINS - Température moy. +2 m (°C);CHANGINS - Humidité moy. (%);CHANGINS - Précipitations intensité (mm/h);CHANGINS - Humectage du feuillage (min)
01.01.2023 00:00;12.1;78;0.0;0
01.01.2023 00:10;12.1;78;0.0;0
01.01.2023 00:20;12.1;78;0.0;0
01.01.2023 00:30;12.1;78;0.0;0
01.01.2023 00:40;12.1;79;0.0;0
01.01.2023 00:50;12.1;79;0.0;0
01.01.2023 01:00;11.9;80;0.0;0
01.01.2023 01:10;11.9;80;0.0;0
01.01.2023 01:20;11.7;80;0.0;0
01.01.2023 01:30;11.7;81;0.0;0
01.01.2023 01:40;11.9;80;0.0;0
01.01.2023 01:50;11.8;80;0.0;0
01.01.2023 02:00;12.0;79;0.0;0
01.01.2023 02:10;11.9;80;0.0;0
01.01.2023 02:20;11.8;80;0.0;0
01.01.2023 02:30;11.6;81;0.0;0
01.01.2023 02:40;11.6;81;0.0;0
01.01.2023 02:50;11.5;80;0.0;0
01.01.2023 03:00;11.1;82;0.0;0
01.01.2023 03:10;11.2;82;0.0;0
01.01.2023 03:20;11.5;80;0.0;0
01.01.2023 03:30;11.5;80;0.0;0
01.01.2023 03:40;11.2;80;0.0;0
01.01.2023 03:50;10.0;85;0.0;0
01.01.2023 04:00;9.5;88;0.0;0
01.01.2023 04:10;10.3;86;0.0;0
01.01.2023 04:20;11.4;80;0.0;0
01.01.2023 04:30;11.6;78;0.0;0
01.01.2023 04:40;11.6;77;0.0;0
01.01.2023 04:50;11.7;77;0.0;0
01.01.2023 05:00;11.8;76;0.0;0
01.01.2023 05:10;11.4;78;0.0;0
01.01.2023 05:20;11.4;78;0.0;0
01.01.2023 05:30;11.4;78;0.0;0
01.01.2023 05:40;11.3;78;0.0;0
01.01.2023 05:50;11.1;80;0.0;0
01.01.2023 06:00;11.0;80;0.0;0
01.01.2023 06:10;11.1;79;0.0;0
01.01.2023 06:20;10.7;81;0.0;0
01.01.2023 06:30;10.3;84;0.0;0
01.01.2023 06:40;10.0;84;0.0;0
01.01.2023 06:50;10.2;83;0.0;0
01.01.2023 07:00;9.9;83;0.0;0
01.01.2023 07:10;10.1;82;0.0;0
01.01.2023 07:20;10.2;81;0.0;0
01.01.2023 07:30;10.0;83;0.0;0
01.01.2023 07:40;9.9;84;0.0;0
01.01.2023 07:50;9.7;85;0.0;0
01.01.2023 08:00;9.8;84;0.0;0
01.01.2023 08:10;9.8;83;0.0;0
01.01.2023 08:20;10.0;82;0.0;0
01.01.2023 08:30;9.6;84;0.0;0
01.01.2023 08:40;9.4;86;0.0;0
01.01.2023 08:50;9.6;84;0.0;0
01.01.2023 09:00;8.8;86;0.0;0
01.01.2023 09:10;9.4;86;0.0;0
01.01.2023 09:20;9.8;84;0.0;0
01.01.2023 09:30;9.7;84;0.0;0
01.01.2023 09:40;10.4;82;0.0;0
01.01.2023 09:50;10.9;80;0.0;0
01.01.2023 10:00;11.3;79;0.0;0
01.01.2023 10:10;11.9;77;0.0;0
01.01.2023 10:20;12.4;72;0.0;0
01.01.2023 10:30;12.8;71;0.0;0
01.01.2023 10:40;12.9;70;0.0;0
01.01.2023 10:50;13.1;69;0.0;0
01.01.2023 11:00;13.1;70;0.0;0
01.01.2023 11:10;13.2;70;0.0;0
01.01.2023 11:20;13.6;69;0.0;0
01.01.2023 11:30;13.7;68;0.0;0
01.01.2023 11:40;14.0;67;0.0;0
01.01.2023 11:50;14.4;65;0.0;0
01.01.2023 12:00;15.0;63;0.0;0
01.01.2023 12:10;15.0;63;0.0;0
01.01.2023 12:20;15.0;63;0.0;0
01.01.2023 12:30;15.1;62;0.0;0
01.01.2023 12:40;15.3;61;0.0;0
01.01.2023 12:50;15.8;59;0.0;0
01.01.2023 13:00;15.9;59;0.0;0
01.01.2023 13:10;16.2;57;0.0;0
01.01.2023 13:20;16.2;57;0.0;0
01.01.2023 13:30;16.4;55;0.0;0
01.01.2023 13:40;16.6;54;0.0;0
01.01.2023 13:50;16.6;55;0.0;0
01.01.2023 14:00;16.7;53;0.0;0
01.01.2023 14:10;16.5;54;0.0;0
01.01.2023 14:20;16.6;53;0.0;0
01.01.2023 14:30;16.7;53;0.0;0
01.01.2023 14:40;16.7;53;0.0;0
01.01.2023 14:50;16.7;53;0.0;0
01.01.2023 15:00;16.6;52;0.0;0
01.01.2023 15:10;16.6;52;0.0;0
01.01.2023 15:20;16.5;53;0.0;0
01.01.2023 15:30;16.4;53;0.0;0
01.01.2023 15:40;16.2;53;0.0;0
01.01.2023 15:50;16.2;52;0.0;0
01.01.2023 16:00;15.7;54;0.0;0
01.01.2023 16:10;15.3;56;0.0;0
01.01.2023 16:20;14.8;58;0.0;0
01.01.2023 16:30;14.2;61;0.0;0
01.01.2023 16:40;14.0;62;0.0;0
01.01.2023 16:50;14.0;62;0.0;0
01.01.2023 17:00;14.1;62;0.0;0
01.01.2023 17:10;13.6;65;0.0;0
01.01.2023 17:20;13.4;67;0.0;0
01.01.2023 17:30;13.5;67;0.0;0
01.01.2023 17:40;13.3;67;0.0;0
01.01.2023 17:50;13.1;68;0.0;0
01.01.2023 18:00;12.5;71;0.0;0
01.01.2023 18:10;12.2;73;0.0;0
01.01.2023 18:20;12.6;72;0.0;0
01.01.2023 18:30;12.7;71;0.0;0
01.01.2023 18:40;12.8;71;0.0;0
01.01.2023 18:50;12.7;71;0.0;0
01.01.2023 19:00;12.7;71;0.0;0
01.01.2023 19:10;12.2;74;0.0;0
01.01.2023 19:20;12.4;73;0.0;0
01.01.2023 19:30;12.1;75;0.0;0
01.01.2023 19:40;11.7;77;0.0;0
