Date;Counts
16.02.2025 08:55;0
16.02.2025 11:55;0
16.02.2025 14:55;0
16.02.2025 14:55;0
16.02.2025 17:55;0
16.02.2025 17:55;0
16.02.2025 20:55;0
16.02.2025 20:55;0
16.02.2025 23:55;0
16.02.2025 23:55;1
17.02.2025 02:55;0
17.02.2025 02:55;2
17.02.2025 05:55;0
17.02.2025 08:55;0
17.02.2025 08:55;3
17.02.2025 11:55;0
17.02.2025 11:55;0
17.02.2025 14:55;0
17.02.2025 14:55;2
17.02.2025 17:55;0
17.02.2025 17:55;1
17.02.2025 20:55;0
17.02.2025 20:55;2
17.02.2025 23:55;0
17.02.2025 23:55;1
18.02.2025 02:55;0
18.02.2025 02:55;1
18.02.2025 05:55;0
18.02.2025 08:55;0
18.02.2025 08:55;0
18.02.2025 11:55;0
18.02.2025 11:55;1
18.02.2025 14:55;1
18.02.2025 14:55;1
18.02.2025 17:55;0
18.02.2025 17:55;0
18.02.2025 20:55;0
18.02.2025 20:55;2
18.02.2025 23:55;0
18.02.2025 23:55;2
19.02.2025 02:55;0
19.02.2025 02:55;1
19.02.2025 05:55;0
19.02.2025 08:55;0
19.02.2025 08:55;5
19.02.2025 11:55;0
19.02.2025 11:55;1
19.02.2025 14:55;0
19.02.2025 14:55;0
19.02.2025 17:55;0
19.02.2025 17:55;0
19.02.2025 20:55;0
19.02.2025 20:55;0
19.02.2025 23:55;0
19.02.2025 23:55;0
20.02.2025 02:55;0
20.02.2025 02:55;0
20.02.2025 05:55;0
20.02.2025 08:55;2
20.02.2025 11:55;3
20.02.2025 14:55;5
20.02.2025 17:55;2
20.02.2025 20:55;4
20.02.2025 23:55;2
21.02.2025 02:55;2
21.02.2025 08:55;0
21.02.2025 11:55;1
21.02.2025 14:55;1
21.02.2025 17:55;0
21.02.2025 20:55;3
21.02.2025 23:55;0
22.02.2025 02:55;0
22.02.2025 08:55;1
22.02.2025 11:55;2
22.02.2025 14:55;1
22.02.2025 17:55;2
22.02.2025 20:55;1
22.02.2025 23:55;1
23.02.2025 02:55;3
23.02.2025 08:55;0
23.02.2025 11:55;4
23.02.2025 14:55;0
23.02.2025 17:55;1
23.02.2025 20:55;3
23.02.2025 23:55;0
24.02.2025 02:55;0
24.02.2025 08:55;1
25.02.2025 14:55;1
25.02.2025 17:55;0
25.02.2025 20:55;0
25.02.2025 23:55;0
26.02.2025 02:55;0
10.03.2025 17:55;0
03.04.2025 11:55;0
03.04.2025 14:55;1
03.04.2025 17:55;0
03.04.2025 20:55;2
03.04.2025 23:55;0
04.04.2025 02:55;1
04.04.2025 05:55;2
04.04.2025 08:55;5
04.04.2025 11:55;1
04.04.2025 14:55;1
04.04.2025 17:55;1
04.04.2025 20:55;1
04.04.2025 23:55;0
05.04.2025 02:55;1
05.04.2025 05:55;1
05.04.2025 08:55;1
05.04.2025 11:55;4
05.04.2025 14:55;2
05.04.2025 17:55;0
05.04.2025 20:55;3
05.04.2025 23:55;0
06.04.2025 02:55;1
06.04.2025 05:55;3
06.04.2025 08:55;0
06.04.2025 11:55;2
06.04.2025 14:55;4
06.04.2025 17:55;1
06.04.2025 20:55;0
06.04.2025 23:55;1
07.04.2025 02:55;5
07.04.2025 05:55;3
07.04.2025 08:55;0
07.04.2025 11:55;0
07.04.2025 14:55;1
07.04.2025 17:55;1
07.04.2025 20:55;1
07.04.2025 23:55;1
08.04.2025 02:55;0
08.04.2025 05:55;6
08.04.2025 08:55;5
08.04.2025 11:55;2
08.04.2025 14:55;0
08.04.2025 17:55;0
08.04.2025 20:55;0
08.04.2025 23:55;0
09.04.2025 02:55;4
09.04.2025 05:55;2
09.04.2025 08:55;3
09.04.2025 11:55;1
09.04.2025 14:55;3
09.04.2025 17:55;1
09.04.2025 20:55;0
09.04.2025 23:55;3
10.04.2025 02:55;0
10.04.2025 05:55;0
10.04.2025 08:55;1
10.04.2025 11:55;4
10.04.2025 14:55;5
10.04.2025 17:55;1
10.04.2025 20:55;4
10.04.2025 23:55;2
11.04.2025 02:55;4
11.04.2025 05:55;1
11.04.2025 08:55;0
11.04.2025 11:55;6
11.04.2025 14:55;8
11.04.2025 17:55;0
11.04.2025 20:55;1
11.04.2025 23:55;1
12.04.2025 02:55;3
12.04.2025 05:55;1
12.04.2025 08:55;2
12.04.2025 11:55;1
12.04.2025 14:55;1
12.04.2025 17:55;3
12.04.2025 20:55;0
12.04.2025 23:55;0
13.04.2025 02:55;1
13.04.2025 05:55;3
13.04.2025 08:55;0
13.04.2025 11:55;0
13.04.2025 14:55;0
13.04.2025 17:55;0
13.04.2025 20:55;1
13.04.2025 23:55;1
14.04.2025 02:55;2
14.04.2025 05:55;1
14.04.2025 08:55;2
14.04.2025 11:55;0
14.04.2025 14:55;0
14.04.2025 17:55;1
14.04.2025 20:55;0
14.04.2025 23:55;3
15.04.2025 02:55;1
15.04.2025 05:55;0
15.04.2025 08:55;1
15.04.2025 11:55;1
15.04.2025 14:55;1
15.04.2025 17:55;0
15.04.2025 20:55;0
15.04.2025 23:55;1
16.04.2025 02:55;0
16.04.2025 05:55;0
16.04.2025 08:55;1
16.04.2025 11:55;1
23.04.2025 14:55;0
23.04.2025 17:55;0
23.04.2025 20:55;0
23.04.2025 23:55;0
24.04.2025 02:55;3
24.04.2025 05:55;1
24.04.2025 08:55;1
24.04.2025 11:55;0
24.04.2025 14:55;0
24.04.2025 17:55;1
24.04.2025 20:55;0
24.04.2025 23:55;1
25.04.2025 02:55;0
25.04.2025 05:55;0
25.04.2025 08:55;1
25.04.2025 11:55;0
25.04.2025 11:56;0
25.04.2025 14:55;0
25.04.2025 17:56;7
25.04.2025 20:56;2
25.04.2025 23:56;0
26.04.2025 02:56;1
26.04.2025 05:56;0
26.04.2025 08:56;1
26.04.2025 11:56;1
26.04.2025 14:56;1
26.04.2025 17:56;0
26.04.2025 20:56;3
26.04.2025 23:56;1
27.04.2025 02:56;2
27.04.2025 05:56;2
27.04.2025 08:56;2
27.04.2025 11:56;1
28.04.2025 10:19;1
28.04.2025 11:56;1
28.04.2025 14:56;3
28.04.2025 17:56;2
28.04.2025 20:56;1
28.04.2025 23:56;0
29.04.2025 02:56;0
29.04.2025 05:56;4
29.04.2025 08:56;3
29.04.2025 11:56;3
29.04.2025 14:56;2
29.04.2025 17:56;2
29.04.2025 20:56;3
29.04.2025 23:56;4
30.04.2025 02:56;7
30.04.2025 05:56;2
30.04.2025 08:56;2
30.04.2025 11:56;3
30.04.2025 14:56;0
30.04.2025 17:56;1
30.04.2025 20:56;4
30.04.2025 23:56;3
01.05.2025 02:56;2
01.05.2025 05:56;1
01.05.2025 08:56;4
01.05.2025 11:56;2
01.05.2025 14:56;3
01.05.2025 17:56;1
01.05.2025 20:56;0
01.05.2025 23:56;1
02.05.2025 02:56;0
02.05.2025 05:56;2
02.05.2025 08:56;3
02.05.2025 11:56;2
02.05.2025 14:56;4
02.05.2025 17:56;2
02.05.2025 20:56;2
02.05.2025 23:56;1
03.05.2025 02:56;2
03.05.2025 05:56;2
03.05.2025 08:56;0
03.05.2025 11:56;1
03.05.2025 14:56;1
03.05.2025 17:56;2
03.05.2025 20:56;3
03.05.2025 23:56;4
04.05.2025 02:56;1
04.05.2025 05:56;0
04.05.2025 08:56;0
04.05.2025 11:56;1
04.05.2025 14:56;0
04.05.2025 17:56;0
04.05.2025 20:56;3
04.05.2025 23:56;3
05.05.2025 02:56;2
05.05.2025 05:56;0
05.05.2025 08:56;0
05.05.2025 11:56;1
05.05.2025 14:56;0
05.05.2025 17:56;1
05.05.2025 20:56;0
05.05.2025 23:56;1
06.05.2025 02:56;1
06.05.2025 05:56;0
06.05.2025 08:56;0
06.05.2025 11:56;0
06.05.2025 14:56;2
06.05.2025 17:56;1
06.05.2025 20:56;0
06.05.2025 23:56;0
07.05.2025 02:56;1
07.05.2025 05:56;1
07.05.2025 08:56;2
07.05.2025 11:56;0
07.05.2025 14:56;1
07.05.2025 17:56;0
07.05.2025 20:56;0
07.05.2025 23:56;1
08.05.2025 02:56;0
08.05.2025 05:56;2
08.05.2025 08:56;1
08.05.2025 11:56;3
08.05.2025 14:56;2
08.05.2025 17:56;1
08.05.2025 20:56;1
08.05.2025 23:56;0
09.05.2025 02:56;0
09.05.2025 05:56;1
09.05.2025 08:56;2
09.05.2025 11:56;1
09.05.2025 14:56;1
09.05.2025 17:56;1
09.05.2025 20:56;1
09.05.2025 23:56;1
10.05.2025 02:56;0
10.05.2025 05:56;0
10.05.2025 08:56;0
10.05.2025 11:56;3
10.05.2025 14:56;2
10.05.2025 17:56;1
10.05.2025 20:56;0
10.05.2025 23:56;0
11.05.2025 02:56;0
11.05.2025 05:56;0
11.05.2025 08:56;0
11.05.2025 11:56;1
11.05.2025 14:56;2
11.05.2025 17:56;1
11.05.2025 20:56;4
11.05.2025 23:56;3
12.05.2025 02:56;1
12.05.2025 05:56;2
12.05.2025 08:56;1
12.05.2025 11:56;3
12.05.2025 14:56;2
12.05.2025 17:56;2
12.05.2025 20:56;0
12.05.2025 23:56;2
13.05.2025 02:56;1
13.05.2025 05:56;0
13.05.2025 08:56;1
13.05.2025 11:56;0
13.05.2025 14:56;1
13.05.2025 17:56;0
13.05.2025 20:56;3
13.05.2025 23:56;1
14.05.2025 02:56;0
14.05.2025 05:56;0
14.05.2025 08:56;1
14.05.2025 11:56;2
14.05.2025 14:56;4
14.05.2025 17:56;2
14.05.2025 20:56;3
14.05.2025 23:56;1
15.05.2025 02:56;3
15.05.2025 05:56;0
15.05.2025 08:56;1
15.05.2025 11:56;0
15.05.2025 14:56;1
15.05.2025 17:56;5
15.05.2025 20:56;0
15.05.2025 23:56;0
16.05.2025 02:56;1
16.05.2025 05:56;2
16.05.2025 08:56;3
16.05.2025 11:56;2
16.05.2025 14:56;3
16.05.2025 17:56;1
16.05.2025 20:56;4
16.05.2025 23:56;1
17.05.2025 02:56;1
17.05.2025 05:56;0
17.05.2025 08:56;1
17.05.2025 11:56;3
17.05.2025 14:56;1
17.05.2025 17:56;1
17.05.2025 20:56;1
17.05.2025 23:56;2
18.05.2025 02:56;2
18.05.2025 05:56;0
18.05.2025 08:56;0
18.05.2025 11:56;2
18.05.2025 14:56;2
18.05.2025 17:56;0
18.05.2025 20:56;2
18.05.2025 23:56;0
19.05.2025 02:56;0
19.05.2025 05:56;0
19.05.2025 08:56;0
19.05.2025 11:56;2
19.05.2025 14:56;3
19.05.2025 17:56;3
19.05.2025 20:56;1
19.05.2025 23:56;1
20.05.2025 02:56;0
20.05.2025 05:56;2
20.05.2025 08:56;2
20.05.2025 11:56;1
20.05.2025 14:56;2
20.05.2025 17:56;0
20.05.2025 20:56;0
20.05.2025 23:56;0
21.05.2025 02:56;0
21.05.2025 05:56;0
21.05.2025 08:56;3
21.05.2025 11:56;0
21.05.2025 14:56;2
21.05.2025 17:56;3
21.05.2025 20:56;6
21.05.2025 23:56;1
22.05.2025 02:56;0
22.05.2025 05:56;4
22.05.2025 08:56;2
22.05.2025 11:56;6
22.05.2025 14:56;1
22.05.2025 17:56;1
22.05.2025 20:56;0
22.05.2025 23:56;1
23.05.2025 02:56;1
23.05.2025 05:56;0
23.05.2025 08:56;3
23.05.2025 11:56;1
23.05.2025 14:56;1
23.05.2025 17:56;2
23.05.2025 20:56;1
23.05.2025 23:56;2
24.05.2025 02:56;0
24.05.2025 05:56;0
24.05.2025 08:56;2
24.05.2025 11:56;0
24.05.2025 14:56;0
24.05.2025 17:56;0
24.05.2025 20:56;0
24.05.2025 23:56;1
25.05.2025 02:56;1
25.05.2025 05:56;0
25.05.2025 08:56;2
25.05.2025 11:56;3
25.05.2025 14:56;3
25.05.2025 17:56;2
25.05.2025 20:56;0
25.05.2025 23:56;1
26.05.2025 02:56;1
26.05.2025 05:56;0
26.05.2025 08:56;2
26.05.2025 11:56;2
26.05.2025 14:56;3
26.05.2025 17:56;1
26.05.2025 20:56;1
26.05.2025 23:56;2
27.05.2025 02:56;1
27.05.2025 05:56;1
27.05.2025 08:56;1
27.05.2025 11:56;2
27.05.2025 14:56;1
27.05.2025 17:56;1
27.05.2025 20:56;2
27.05.2025 23:56;1
28.05.2025 02:56;0
28.05.2025 05:56;1
28.05.2025 08:56;1
28.05.2025 11:56;0
28.05.2025 14:56;0
28.05.2025 17:56;3
28.05.2025 20:56;0
28.05.2025 23:56;1
29.05.2025 02:56;0
29.05.2025 05:56;1
29.05.2025 08:56;1
29.05.2025 11:56;3
29.05.2025 14:56;0
29.05.2025 17:56;0
29.05.2025 20:56;1
29.05.2025 23:56;2
30.05.2025 02:56;1
30.05.2025 05:56;0
30.05.2025 08:56;3
30.05.2025 11:56;3
30.05.2025 14:56;0
30.05.2025 17:56;3
30.05.2025 20:56;1
30.05.2025 23:56;1
31.05.2025 02:56;2
31.05.2025 05:56;2
31.05.2025 08:56;1
31.05.2025 11:56;4
31.05.2025 14:56;3
31.05.2025 17:56;1
31.05.2025 20:56;1
31.05.2025 23:56;1
01.06.2025 02:56;1
01.06.2025 05:56;3
01.06.2025 08:56;1
01.06.2025 11:56;1
01.06.2025 14:56;0
01.06.2025 17:56;2
01.06.2025 20:56;5
01.06.2025 23:56;3
02.06.2025 02:56;4
02.06.2025 05:56;1
02.06.2025 08:56;1
02.06.2025 11:56;2
02.06.2025 14:56;2
02.06.2025 17:56;2
02.06.2025 20:56;4
02.06.2025 23:56;0
03.06.2025 02:56;0
03.06.2025 05:56;0
03.06.2025 08:56;0
03.06.2025 11:56;1
03.06.2025 14:56;0
03.06.2025 17:56;2
03.06.2025 20:56;0
03.06.2025 23:56;2
04.06.2025 02:56;1
04.06.2025 05:56;1
04.06.2025 08:56;1
04.06.2025 11:56;0
04.06.2025 14:56;2
04.06.2025 17:56;0
04.06.2025 20:56;0
04.06.2025 23:56;1
05.06.2025 02:56;1
05.06.2025 05:56;1
05.06.2025 08:56;0
05.06.2025 11:56;0
05.06.2025 14:56;0
05.06.2025 17:56;2
05.06.2025 20:56;0
05.06.2025 23:56;1
06.06.2025 02:56;1
06.06.2025 05:56;0
06.06.2025 08:56;4
06.06.2025 11:56;2
06.06.2025 14:56;2
06.06.2025 17:56;2
06.06.2025 20:56;0
06.06.2025 23:56;0
07.06.2025 02:56;0
07.06.2025 05:56;1
07.06.2025 08:56;1
07.06.2025 11:56;2
07.06.2025 14:56;1
07.06.2025 17:56;1
07.06.2025 20:56;1
07.06.2025 23:56;1
08.06.2025 02:56;0
08.06.2025 05:56;2
08.06.2025 08:56;0
08.06.2025 11:56;1
08.06.2025 14:56;1
08.06.2025 17:56;0
08.06.2025 20:56;0
08.06.2025 23:56;0
09.06.2025 02:56;1
09.06.2025 05:56;2
09.06.2025 08:56;0
09.06.2025 11:56;4
09.06.2025 14:56;1
09.06.2025 17:56;1
09.06.2025 20:56;0
09.06.2025 23:56;1
10.06.2025 02:56;0
10.06.2025 05:56;1
10.06.2025 08:56;1
10.06.2025 11:56;1
10.06.2025 14:56;3
10.06.2025 17:56;5
10.06.2025 20:56;0
10.06.2025 23:56;5
11.06.2025 02:56;0
11.06.2025 05:56;0
11.06.2025 08:56;0
11.06.2025 11:56;2
11.06.2025 14:56;1
11.06.2025 17:56;2
11.06.2025 20:56;2
11.06.2025 23:56;3
12.06.2025 02:56;2
12.06.2025 05:56;1
12.06.2025 08:56;1
12.06.2025 11:56;5
12.06.2025 14:56;1
12.06.2025 17:56;1
12.06.2025 20:56;3
12.06.2025 23:56;3
13.06.2025 02:56;0
13.06.2025 05:56;0
13.06.2025 08:56;5
13.06.2025 11:56;5
13.06.2025 14:56;0
13.06.2025 17:56;4
13.06.2025 20:56;2
13.06.2025 23:56;4
14.06.2025 02:56;3
14.06.2025 05:56;4
14.06.2025 08:56;1
14.06.2025 11:56;0
14.06.2025 14:56;2
14.06.2025 17:56;4
14.06.2025 20:56;1
14.06.2025 23:56;1
15.06.2025 02:56;0
15.06.2025 05:56;3
15.06.2025 08:56;5
15.06.2025 11:56;2
15.06.2025 14:56;2
15.06.2025 17:56;0
15.06.2025 20:56;2
15.06.2025 23:56;1
16.06.2025 02:56;3
16.06.2025 05:56;0
16.06.2025 08:56;1
16.06.2025 11:56;3
16.06.2025 14:56;2
16.06.2025 17:56;0
16.06.2025 20:56;3
16.06.2025 23:56;1
17.06.2025 02:56;1
17.06.2025 05:56;3
17.06.2025 08:56;2
17.06.2025 11:56;1
17.06.2025 14:56;1
17.06.2025 17:56;1
17.06.2025 20:56;2
17.06.2025 23:56;1
18.06.2025 02:56;0
18.06.2025 05:56;2
18.06.2025 08:56;2
18.06.2025 11:56;1
18.06.2025 14:56;1
18.06.2025 17:56;5
18.06.2025 20:56;5
18.06.2025 23:56;0
19.06.2025 02:56;1
19.06.2025 05:56;1
19.06.2025 08:56;2
19.06.2025 11:56;3
19.06.2025 14:56;3
19.06.2025 17:56;0
19.06.2025 20:56;0
19.06.2025 23:56;1
20.06.2025 02:56;0
20.06.2025 05:56;2
20.06.2025 08:56;2
20.06.2025 11:56;3
20.06.2025 14:56;3
20.06.2025 17:56;1
20.06.2025 20:56;2
20.06.2025 23:56;0
21.06.2025 02:56;2
21.06.2025 05:56;3
21.06.2025 08:56;3
21.06.2025 11:56;4
21.06.2025 14:56;1
21.06.2025 17:56;3
21.06.2025 20:56;0
21.06.2025 23:56;4
22.06.2025 02:56;0
22.06.2025 05:56;1
22.06.2025 08:56;1
22.06.2025 11:56;0
22.06.2025 14:56;3
22.06.2025 17:56;1
22.06.2025 20:56;1
22.06.2025 23:56;2
23.06.2025 02:56;4
23.06.2025 05:56;2
23.06.2025 08:56;5
23.06.2025 11:56;2
23.06.2025 14:56;3
23.06.2025 17:56;1
23.06.2025 20:56;0
23.06.2025 23:56;0
24.06.2025 02:56;2
24.06.2025 05:56;1
24.06.2025 08:56;2
24.06.2025 11:56;1
24.06.2025 14:56;0
24.06.2025 17:56;0
24.06.2025 20:56;1
24.06.2025 23:56;0
25.06.2025 02:56;1
25.06.2025 05:56;1
25.06.2025 08:56;1
25.06.2025 11:56;2
25.06.2025 14:56;0
25.06.2025 17:56;1
25.06.2025 20:56;2
25.06.2025 23:56;1
26.06.2025 02:56;3
26.06.2025 05:56;1
26.06.2025 08:56;1
26.06.2025 11:56;0
26.06.2025 14:56;1
26.06.2025 17:56;0
26.06.2025 20:56;1
26.06.2025 23:56;2
27.06.2025 02:56;1
27.06.2025 05:56;0
27.06.2025 08:56;0
27.06.2025 11:56;2
27.06.2025 14:56;1
