Date;Counts
03.03.2025 20:55;0
06.03.2025 17:55;0
07.03.2025 11:55;0
07.03.2025 20:55;2
07.03.2025 23:55;1
08.03.2025 02:55;1
08.03.2025 05:55;2
08.03.2025 08:55;0
08.03.2025 11:55;1
08.03.2025 14:55;1
08.03.2025 17:55;0
08.03.2025 20:55;0
08.03.2025 23:55;0
09.03.2025 02:55;0
09.03.2025 05:55;1
09.03.2025 08:55;2
09.03.2025 11:55;1
09.03.2025 14:55;1
09.03.2025 17:55;0
09.03.2025 20:55;1
09.03.2025 23:55;1
10.03.2025 02:55;1
26.03.2025 02:55;2
03.04.2025 17:55;2
03.04.2025 20:55;7
03.04.2025 23:55;0
04.04.2025 02:55;2
04.04.2025 05:55;0
04.04.2025 08:55;16
04.04.2025 11:55;3
04.04.2025 14:55;3
04.04.2025 17:55;3
04.04.2025 20:55;17
04.04.2025 23:55;2
05.04.2025 02:55;1
05.04.2025 05:55;1
05.04.2025 08:55;5
05.04.2025 11:55;5
05.04.2025 14:55;4
05.04.2025 17:55;5
05.04.2025 20:55;4
05.04.2025 23:55;9
06.04.2025 02:55;16
06.04.2025 05:55;2
06.04.2025 08:55;1
06.04.2025 11:55;6
06.04.2025 14:55;9
06.04.2025 17:55;0
06.04.2025 20:55;3
06.04.2025 23:55;4
07.04.2025 02:55;0
07.04.2025 05:55;0
07.04.2025 08:55;4
07.04.2025 11:55;4
07.04.2025 14:55;0
07.04.2025 17:55;6
07.04.2025 20:55;4
07.04.2025 23:55;0
08.04.2025 02:55;0
08.04.2025 05:55;1
08.04.2025 08:55;4
08.04.2025 11:55;12
08.04.2025 14:55;3
08.04.2025 17:55;3
08.04.2025 20:55;2
08.04.2025 23:55;4
09.04.2025 02:55;3
09.04.2025 05:55;1
09.04.2025 08:55;6
09.04.2025 11:55;7
09.04.2025 14:55;8
09.04.2025 17:55;0
09.04.2025 20:55;17
09.04.2025 23:55;3
11.04.2025 08:55;4
11.04.2025 11:55;2
11.04.2025 14:55;2
11.04.2025 17:55;3
11.04.2025 20:55;7
11.04.2025 23:55;1
12.04.2025 02:55;0
12.04.2025 05:55;2
12.04.2025 08:55;2
12.04.2025 11:55;3
12.04.2025 14:55;4
12.04.2025 17:55;1
12.04.2025 20:55;4
12.04.2025 23:55;1
13.04.2025 02:55;3
13.04.2025 05:55;6
13.04.2025 08:55;2
13.04.2025 11:55;0
13.04.2025 14:55;3
13.04.2025 17:55;2
13.04.2025 20:55;1
13.04.2025 23:55;0
14.04.2025 02:55;0
14.04.2025 05:55;2
14.04.2025 08:55;1
14.04.2025 11:55;2
14.04.2025 14:55;0
14.04.2025 17:55;1
14.04.2025 20:55;1
14.04.2025 23:55;2
15.04.2025 02:55;2
15.04.2025 05:55;3
15.04.2025 08:55;4
15.04.2025 11:55;0
15.04.2025 14:55;1
15.04.2025 17:55;3
15.04.2025 20:55;0
15.04.2025 23:55;7
16.04.2025 02:55;5
16.04.2025 05:55;1
16.04.2025 08:55;3
16.04.2025 11:55;2
16.04.2025 14:55;1
16.04.2025 17:55;5
16.04.2025 20:55;4
16.04.2025 23:55;2
17.04.2025 02:55;0
17.04.2025 05:55;1
17.04.2025 08:55;1
17.04.2025 11:55;0
17.04.2025 14:55;0
17.04.2025 17:55;0
17.04.2025 20:55;0
17.04.2025 23:55;1
18.04.2025 02:55;0
18.04.2025 05:55;5
18.04.2025 08:55;0
18.04.2025 11:55;1
18.04.2025 14:55;1
18.04.2025 17:55;2
18.04.2025 20:55;1
19.04.2025 14:55;0
19.04.2025 17:55;2
19.04.2025 20:55;0
19.04.2025 23:55;2
20.04.2025 02:55;0
20.04.2025 05:55;2
20.04.2025 08:55;1
20.04.2025 11:55;0
20.04.2025 14:55;0
20.04.2025 17:55;0
20.04.2025 20:55;0
20.04.2025 23:55;0
21.04.2025 02:55;1
21.04.2025 05:55;0
21.04.2025 08:55;1
21.04.2025 11:55;0
21.04.2025 14:55;2
21.04.2025 17:55;1
21.04.2025 20:55;1
21.04.2025 23:55;0
22.04.2025 02:55;2
22.04.2025 05:55;0
22.04.2025 08:55;4
22.04.2025 11:55;2
22.04.2025 17:55;1
22.04.2025 20:55;3
22.04.2025 23:55;2
23.04.2025 02:55;1
23.04.2025 05:55;4
23.04.2025 08:55;3
23.04.2025 11:55;5
23.04.2025 14:55;5
23.04.2025 17:55;2
23.04.2025 20:55;0
23.04.2025 23:55;0
24.04.2025 02:55;10
24.04.2025 05:55;7
24.04.2025 08:55;2
24.04.2025 11:55;2
24.04.2025 14:55;1
24.04.2025 17:55;2
24.04.2025 20:55;0
24.04.2025 23:55;1
25.04.2025 02:55;0
25.04.2025 05:55;0
25.04.2025 08:55;2
25.04.2025 11:55;0
25.04.2025 14:55;1
25.04.2025 17:55;1
