Date;Counts
03.03.2025 00:00;0
04.03.2025 00:00;1
05.03.2025 00:00;1
06.03.2025 00:00;2
07.03.2025 00:00;0
18.03.2025 00:00;1
19.03.2025 00:00;1
20.03.2025 00:00;0
21.03.2025 00:00;0
22.03.2025 00:00;2
23.03.2025 00:00;2
24.03.2025 00:00;1
25.03.2025 00:00;0
26.03.2025 00:00;0
27.03.2025 00:00;0
28.03.2025 00:00;0
29.03.2025 00:00;0
30.03.2025 00:00;0
31.03.2025 00:00;0
01.04.2025 00:00;0
02.04.2025 00:00;0
03.04.2025 00:00;2
04.04.2025 00:00;12
05.04.2025 00:00;4
11.04.2025 00:00;67
12.04.2025 00:00;247
13.04.2025 00:00;229
14.04.2025 00:00;70
15.04.2025 00:00;84
16.04.2025 00:00;33
17.04.2025 00:00;22
18.04.2025 00:00;41
19.04.2025 00:00;67
20.04.2025 00:00;43
21.04.2025 00:00;21
22.04.2025 00:00;47
23.04.2025 00:00;107
24.04.2025 00:00;32
25.04.2025 00:00;74
26.04.2025 00:00;38
27.04.2025 00:00;25
28.04.2025 00:00;107
29.04.2025 00:00;128
30.04.2025 00:00;88
01.05.2025 00:00;148
02.05.2025 00:00;264
03.05.2025 00:00;146
04.05.2025 00:00;61
05.05.2025 00:00;34
06.05.2025 00:00;77
07.05.2025 00:00;68
08.05.2025 00:00;111
09.05.2025 00:00;99
10.05.2025 00:00;30
11.05.2025 00:00;59
12.05.2025 00:00;48
13.05.2025 00:00;76
14.05.2025 00:00;115
15.05.2025 00:00;149
16.05.2025 00:00;289
17.05.2025 00:00;112
18.05.2025 00:00;88
19.05.2025 00:00;175
20.05.2025 00:00;59
21.05.2025 00:00;97
22.05.2025 00:00;26
23.05.2025 00:00;81
24.05.2025 00:00;46
25.05.2025 00:00;62
26.05.2025 00:00;47
27.05.2025 00:00;134
28.05.2025 00:00;98
29.05.2025 00:00;40
30.05.2025 00:00;67
31.05.2025 00:00;128
01.06.2025 00:00;144
02.06.2025 00:00;95
03.06.2025 00:00;226
04.06.2025 00:00;98
05.06.2025 00:00;193
06.06.2025 00:00;138
07.06.2025 00:00;107
08.06.2025 00:00;45
09.06.2025 00:00;104
10.06.2025 00:00;111
11.06.2025 00:00;202
12.06.2025 00:00;331
13.06.2025 00:00;338
14.06.2025 00:00;278
15.06.2025 00:00;195
16.06.2025 00:00;113
17.06.2025 00:00;260
18.06.2025 00:00;229
19.06.2025 00:00;283
20.06.2025 00:00;300
21.06.2025 00:00;202
22.06.2025 00:00;152
23.06.2025 00:00;374
24.06.2025 00:00;231
25.06.2025 00:00;258
26.06.2025 00:00;312
27.06.2025 00:00;185
28.06.2025 00:00;193
29.06.2025 00:00;148
30.06.2025 00:00;275
01.07.2025 00:00;249
02.07.2025 00:00;327
03.07.2025 00:00;235
04.07.2025 00:00;209
05.07.2025 00:00;230
06.07.2025 00:00;170
