Date;Counts
14.04.2025 00:00;0
16.04.2025 00:00;1.19
18.04.2025 00:00;0.75
21.04.2025 00:00;0
23.04.2025 00:00;0.23
25.04.2025 00:00;0
28.04.2025 00:00;0.41
30.04.2025 00:00;0
02.05.2025 00:00;0
05.05.2025 00:00;0.05
07.05.2025 00:00;0
09.05.2025 00:00;0
12.05.2025 00:00;0.15
14.05.2025 00:00;0
16.05.2025 00:00;0.41
19.05.2025 00:00;0.13
21.05.2025 00:00;0
23.05.2025 00:00;0
26.05.2025 00:00;1.75
28.05.2025 00:00;0
30.05.2025 00:00;0.05
02.06.2025 00:00;0.01
04.06.2025 00:00;77.41
06.06.2025 00:00;0
09.06.2025 00:00;0
11.06.2025 00:00;0
13.06.2025 00:00;0.62
16.06.2025 00:00;5.64
18.06.2025 00:00;0
20.06.2025 00:00;0.2
23.06.2025 00:00;9.98
25.06.2025 00:00;0.67
27.06.2025 00:00;0
30.06.2025 00:00;0
02.07.2025 00:00;0
04.07.2025 00:00;0
07.07.2025 00:00;27.3
09.07.2025 00:00;0
11.07.2025 00:00;1.7
14.07.2025 00:00;0
16.07.2025 00:00;6.37
18.07.2025 00:00;1.39
21.07.2025 00:00;8.1
23.07.2025 00:00;182.93
25.07.2025 00:00;1.26
28.07.2025 00:00;14.17
30.07.2025 00:00;11.33
01.08.2025 00:00;2.24
04.08.2025 00:00;0.96
06.08.2025 00:00;21.57
08.08.2025 00:00;NA
11.08.2025 00:00;1.65
13.08.2025 00:00;0.64
15.08.2025 00:00;1.72
18.08.2025 00:00;NA
20.08.2025 00:00;346.93
22.08.2025 00:00;NA
25.08.2025 00:00;NA
