id,start,oospore_maturation,oospore_germination,oospore_dispersion,oospore_infection,incubation_days,completed_incubation,sporulations,sporangia_densities,spore_lifespan_days,secondary_infections,oospore_infection_strength,secondary_infection_strengths
16554,2025-04-26 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 10:30:00+02:00,8.352097671364277,2025-05-15 10:30:00+02:00,2025-05-20 01:20:00+02:00,111507.69230769233,13.294216311590466,2025-05-20 02:40:00+02:00,174.06666666666666,290.98333333333335
16572,2025-04-26 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16590,2025-04-26 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16608,2025-04-26 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16626,2025-04-26 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16644,2025-04-26 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16662,2025-04-26 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16680,2025-04-26 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16698,2025-04-27 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16716,2025-04-27 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16734,2025-04-27 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16752,2025-04-27 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16770,2025-04-27 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16788,2025-04-27 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16806,2025-04-27 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16824,2025-04-27 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16842,2025-04-28 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
