16554: START:2025-04-26 00:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': Timestamp('2025-05-03 10:30:00+0200', tz='Europe/Zurich'), 'incubation_days': 8.352097671364277, 'completed_incubation': Timestamp('2025-05-15 10:30:00+0200', tz='Europe/Zurich'), 'sporulations': [Timestamp('2025-05-20 01:20:00+0200', tz='Europe/Zurich')], 'sporangia_densities': [111507.69230769233], 'spore_lifespan_days': [13.294216311590466], 'secondary_infections': [Timestamp('2025-05-20 02:40:00+0200', tz='Europe/Zurich')], 'oospore_infection_strength': 174.06666666666666, 'secondary_infection_strengths': [290.98333333333335]}
16560: START:2025-04-26 01:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16566: START:2025-04-26 02:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16572: START:2025-04-26 03:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16578: START:2025-04-26 04:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16584: START:2025-04-26 05:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16590: START:2025-04-26 06:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16596: START:2025-04-26 07:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16602: START:2025-04-26 08:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16608: START:2025-04-26 09:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16614: START:2025-04-26 10:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16620: START:2025-04-26 11:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16626: START:2025-04-26 12:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16632: START:2025-04-26 13:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16638: START:2025-04-26 14:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16644: START:2025-04-26 15:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16650: START:2025-04-26 16:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16656: START:2025-04-26 17:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16662: START:2025-04-26 18:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16668: START:2025-04-26 19:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16674: START:2025-04-26 20:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16680: START:2025-04-26 21:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16686: START:2025-04-26 22:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
16692: START:2025-04-26 23:00:00+02:00: EVENTS:{'oospore_maturation': Timestamp('2025-04-26 00:00:00+0200', tz='Europe/Zurich'), 'oospore_germination': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_dispersion': Timestamp('2025-05-03 07:10:00+0200', tz='Europe/Zurich'), 'oospore_infection': None, 'incubation_days': None, 'completed_incubation': None, 'sporulations': None, 'sporangia_densities': None, 'spore_lifespan_days': None, 'secondary_infections': None, 'oospore_infection_strength': None, 'secondary_infection_strengths': None}
