id,start,oospore_maturation,oospore_germination,oospore_dispersion,oospore_infection,incubation_days,completed_incubation,sporulations,sporangia_densities,spore_lifespan_days,secondary_infections,oospore_infection_strength,secondary_infection_strengths
16554,2025-04-26 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 10:30:00+02:00,8.352097671364277,2025-05-15 10:30:00+02:00,2025-05-20 01:20:00+02:00,111507.69230769233,13.294216311590466,2025-05-20 02:40:00+02:00,174.06666666666666,290.98333333333335
16560,2025-04-26 01:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16566,2025-04-26 02:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16572,2025-04-26 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16578,2025-04-26 04:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16584,2025-04-26 05:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16590,2025-04-26 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16596,2025-04-26 07:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16602,2025-04-26 08:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16608,2025-04-26 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16614,2025-04-26 10:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16620,2025-04-26 11:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16626,2025-04-26 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16632,2025-04-26 13:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16638,2025-04-26 14:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16644,2025-04-26 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16650,2025-04-26 16:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16656,2025-04-26 17:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16662,2025-04-26 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16668,2025-04-26 19:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16674,2025-04-26 20:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16680,2025-04-26 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16686,2025-04-26 22:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16692,2025-04-26 23:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16698,2025-04-27 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16704,2025-04-27 01:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16710,2025-04-27 02:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16716,2025-04-27 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16722,2025-04-27 04:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16728,2025-04-27 05:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16734,2025-04-27 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16740,2025-04-27 07:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16746,2025-04-27 08:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16752,2025-04-27 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16758,2025-04-27 10:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16764,2025-04-27 11:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16770,2025-04-27 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16776,2025-04-27 13:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16782,2025-04-27 14:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16788,2025-04-27 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16794,2025-04-27 16:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16800,2025-04-27 17:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16806,2025-04-27 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16812,2025-04-27 19:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16818,2025-04-27 20:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16824,2025-04-27 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16830,2025-04-27 22:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16836,2025-04-27 23:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16842,2025-04-28 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16848,2025-04-28 01:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16854,2025-04-28 02:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16860,2025-04-28 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16866,2025-04-28 04:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16872,2025-04-28 05:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16878,2025-04-28 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16884,2025-04-28 07:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16890,2025-04-28 08:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16896,2025-04-28 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16902,2025-04-28 10:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16908,2025-04-28 11:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16914,2025-04-28 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16920,2025-04-28 13:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16926,2025-04-28 14:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16932,2025-04-28 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16938,2025-04-28 16:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16944,2025-04-28 17:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16950,2025-04-28 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16956,2025-04-28 19:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16962,2025-04-28 20:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16968,2025-04-28 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16974,2025-04-28 22:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16980,2025-04-28 23:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16986,2025-04-29 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16992,2025-04-29 01:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
16998,2025-04-29 02:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17004,2025-04-29 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17010,2025-04-29 04:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17016,2025-04-29 05:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17022,2025-04-29 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
17028,2025-04-29 07:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,None,None,None,None,None,None,None,None,None
