id,start,oospore_maturation,oospore_germination,oospore_dispersion,oospore_infection,completed_incubation,sporulation,sporangia_density,secondary_infection
16554,2025-04-26 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 07:10:00+02:00,2025-05-03 10:30:00+02:00,2025-05-15 10:30:00+02:00,2025-05-20 01:20:00+02:00,111507.69230769233,2025-05-20 02:40:00+02:00
17580,2025-05-03 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 18:30:00+02:00,2025-05-04 18:30:00+02:00,2025-05-04 22:20:00+02:00,2025-05-16 22:20:00+02:00,2025-05-20 01:20:00+02:00,111507.69230769233,2025-05-20 02:40:00+02:00
17616,2025-05-03 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:00:00+02:00,2025-05-04 19:00:00+02:00,2025-05-04 23:00:00+02:00,2025-05-16 23:00:00+02:00,2025-05-20 01:20:00+02:00,111507.69230769233,2025-05-20 02:40:00+02:00
17706,2025-05-04 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-04 19:20:00+02:00,2025-05-04 19:20:00+02:00,2025-05-04 23:20:00+02:00,2025-05-16 23:20:00+02:00,2025-05-20 01:20:00+02:00,111507.69230769233,2025-05-20 02:40:00+02:00
17832,2025-05-04 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-05 03:50:00+02:00,2025-05-05 03:50:00+02:00,2025-05-05 08:50:00+02:00,2025-05-17 08:50:00+02:00,2025-05-20 01:20:00+02:00,111507.69230769233,2025-05-20 02:40:00+02:00
17850,2025-05-05 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-11 21:20:00+02:00,2025-05-11 21:20:00+02:00,2025-05-12 01:20:00+02:00,2025-05-22 01:20:00+02:00,2025-05-26 05:40:00+02:00,206030.76923076928,2025-05-26 07:00:00+02:00
20064,2025-05-20 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-22 03:00:00+02:00,2025-05-22 03:00:00+02:00,2025-05-22 07:30:00+02:00,2025-05-31 07:30:00+02:00,2025-06-02 01:30:00+02:00,215446.15384615381,2025-06-02 02:50:00+02:00
20100,2025-05-20 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-22 03:10:00+02:00,2025-05-22 03:10:00+02:00,2025-05-22 07:50:00+02:00,2025-05-31 07:50:00+02:00,2025-06-02 01:30:00+02:00,215446.15384615381,2025-06-02 02:50:00+02:00
20136,2025-05-20 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-22 03:40:00+02:00,2025-05-22 03:40:00+02:00,2025-05-22 08:20:00+02:00,2025-05-31 08:20:00+02:00,2025-06-02 01:30:00+02:00,215446.15384615381,2025-06-02 02:50:00+02:00
20154,2025-05-21 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-22 04:20:00+02:00,2025-05-22 04:20:00+02:00,2025-05-22 09:10:00+02:00,2025-05-31 09:10:00+02:00,2025-06-02 01:30:00+02:00,215446.15384615381,2025-06-02 02:50:00+02:00
20262,2025-05-21 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-22 04:30:00+02:00,2025-05-22 04:30:00+02:00,2025-05-22 09:20:00+02:00,2025-05-31 09:20:00+02:00,2025-06-02 01:30:00+02:00,215446.15384615381,2025-06-02 02:50:00+02:00
20316,2025-05-22 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-05-22 04:40:00+02:00,2025-05-22 04:40:00+02:00,2025-05-22 09:30:00+02:00,2025-05-31 09:30:00+02:00,2025-06-02 01:30:00+02:00,215446.15384615381,2025-06-02 02:50:00+02:00
20334,2025-05-22 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-01 23:50:00+02:00,2025-06-01 23:50:00+02:00,2025-06-02 02:50:00+02:00,2025-06-09 02:50:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
21846,2025-06-01 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-02 02:40:00+02:00,2025-06-02 02:40:00+02:00,2025-06-02 05:40:00+02:00,2025-06-09 05:40:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
21864,2025-06-01 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-02 04:00:00+02:00,2025-06-02 04:00:00+02:00,2025-06-02 07:00:00+02:00,2025-06-09 07:00:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
21900,2025-06-02 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-02 04:10:00+02:00,2025-06-02 04:10:00+02:00,2025-06-02 07:10:00+02:00,2025-06-09 07:10:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
21918,2025-06-02 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-02 20:00:00+02:00,2025-06-02 20:00:00+02:00,2025-06-02 23:10:00+02:00,2025-06-09 23:10:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
22008,2025-06-02 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-04 14:20:00+02:00,2025-06-04 14:20:00+02:00,2025-06-04 17:20:00+02:00,2025-06-11 17:20:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
22206,2025-06-04 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-04 15:00:00+02:00,2025-06-04 15:00:00+02:00,2025-06-04 18:00:00+02:00,2025-06-11 18:00:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
22224,2025-06-04 09:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-04 16:50:00+02:00,2025-06-04 16:50:00+02:00,2025-06-04 19:50:00+02:00,2025-06-11 19:50:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
22242,2025-06-04 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-04 17:00:00+02:00,2025-06-04 17:00:00+02:00,2025-06-04 20:00:00+02:00,2025-06-11 20:00:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
22278,2025-06-04 18:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-07 02:50:00+02:00,2025-06-07 02:50:00+02:00,2025-06-07 06:00:00+02:00,2025-06-13 06:00:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
22386,2025-06-05 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-07 03:00:00+02:00,2025-06-07 03:00:00+02:00,2025-06-07 06:10:00+02:00,2025-06-13 06:10:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
22530,2025-06-06 12:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-07 03:10:00+02:00,2025-06-07 03:10:00+02:00,2025-06-07 06:20:00+02:00,2025-06-13 06:20:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
22584,2025-06-06 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-07 03:30:00+02:00,2025-06-07 03:30:00+02:00,2025-06-07 06:40:00+02:00,2025-06-13 06:40:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
22602,2025-06-07 00:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-07 03:40:00+02:00,2025-06-07 03:40:00+02:00,2025-06-07 06:50:00+02:00,2025-06-13 06:50:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
22620,2025-06-07 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-07 04:40:00+02:00,2025-06-07 04:40:00+02:00,2025-06-07 07:50:00+02:00,2025-06-13 07:50:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
22638,2025-06-07 06:00:00+02:00,2025-04-26 00:00:00+02:00,2025-06-15 14:00:00+02:00,2025-06-15 14:00:00+02:00,2025-06-15 16:20:00+02:00,2025-06-20 16:20:00+02:00,2025-07-04 04:10:00+02:00,300000.0,2025-07-04 05:20:00+02:00
23844,2025-06-15 15:00:00+02:00,2025-04-26 00:00:00+02:00,2025-07-04 00:20:00+02:00,2025-07-04 00:20:00+02:00,2025-07-04 02:50:00+02:00,2025-07-10 02:50:00+02:00,2025-07-14 03:40:00+02:00,300000.0,2025-07-14 04:50:00+02:00
26508,2025-07-04 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-07-07 01:20:00+02:00,2025-07-07 01:20:00+02:00,2025-07-07 04:50:00+02:00,2025-07-13 04:50:00+02:00,2025-07-14 03:40:00+02:00,300000.0,2025-07-14 04:50:00+02:00
26904,2025-07-06 21:00:00+02:00,2025-04-26 00:00:00+02:00,2025-07-07 14:20:00+02:00,2025-07-07 14:20:00+02:00,2025-07-07 17:10:00+02:00,2025-07-13 17:10:00+02:00,2025-07-14 03:40:00+02:00,300000.0,2025-07-14 04:50:00+02:00
26940,2025-07-07 03:00:00+02:00,2025-04-26 00:00:00+02:00,2025-07-07 03:00:00+02:00,2025-07-07 03:10:00+02:00,2025-07-07 06:30:00+02:00,2025-07-13 06:30:00+02:00,2025-07-14 03:40:00+02:00,300000.0,2025-07-14 04:50:00+02:00
